"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"4198","Galway County",7.1,0,7.1,28.6,57.1
"4199","Galway County",12.1,12.1,6.1,33.3,36.4
"4200","Galway County",3.7,14.8,3.7,29.6,48.1
"4201","Galway County",21.1,5.3,21.1,26.3,26.3
"4202","Galway County",4.5,4.5,13.6,31.8,45.5
"4203","Galway County",9.5,14.3,9.5,28.6,38.1
"4204","Galway County",19.4,6.5,19.4,19.4,35.5
"4205","Galway County",3,6.1,18.2,12.1,60.6
"4206","Galway County",13.3,13.3,6.7,26.7,40
"4207","Galway County",5.9,11.8,17.6,29.4,35.3
"4208","Galway County",12.1,1.5,21.2,24.2,40.9
"4209","Galway County",12.5,8.3,25,37.5,16.7
"4210","Galway County",18.2,22.7,9.1,22.7,27.3
"4211","Galway County",15.8,5.3,26.3,5.3,47.4
"4212","Galway County",18.9,5.4,24.3,29.7,21.6
"4213","Galway County",6.5,6.5,16.1,22.6,48.4
"4214","Galway County",11.3,3.8,26.4,13.2,45.3
"4215","Galway County",5.9,17.6,11.8,47.1,17.6
"4216","Galway County",2.5,7.5,35,45,10
"4217","Galway County",14.3,9.5,28.6,33.3,14.3
"4218","Galway County",12.5,3.1,18.8,31.3,34.4
"4219","Galway County",3,6.1,24.2,45.5,21.2
"4220","Galway County",6.7,6.7,33.3,13.3,40
"4221","Galway County",11.4,15.9,9.1,9.1,54.5
"4222","Galway County",9.5,0,9.5,19,61.9
"4223","Galway County",11.1,0,22.2,22.2,44.4
"4224","Galway County",5.7,2.9,25.7,42.9,22.9
"4225","Galway County",22.2,11.1,5.6,38.9,22.2
"4226","Galway County",4,20,24,16,36
"4227","Galway County",5.3,0,15.8,47.4,31.6
"4228","Galway County",3.4,13.8,10.3,13.8,58.6
"4229","Galway County",7.1,3.6,14.3,32.1,42.9
"4230","Galway County",4.8,3.2,4.8,22.2,65.1
"4231","Galway County",8.9,6.7,15.6,17.8,51.1
"4232","Galway County",4.5,4.5,9.1,36.4,45.5
"4233","Galway County",13.6,13.6,9.1,31.8,31.8
"4234","Galway County",6.5,19.4,12.9,22.6,38.7
"4235","Galway County",4.3,8.7,21.7,30.4,34.8
"4236","Galway County",11.1,11.1,14.8,25.9,37
"4237","Galway County",11.9,7.1,4.8,31,45.2
"4238","Galway County",9.1,16.4,20,32.7,21.8
"4239","Galway County",4,12,16,20,48
"4240","Galway County",20,5.7,20,34.3,20
"4241","Galway County",4.3,5.7,11.4,18.6,60
"4242","Galway County",19.4,16.7,13.9,25,25
"4243","Galway County",12.1,15.2,18.2,36.4,18.2
"4244","Galway County",11.1,2.8,8.3,19.4,58.3
"4245","Galway County",0,0,16.7,33.3,50
"4246","Galway County",13,4.3,21.7,26.1,34.8
"4247","Galway County",19.2,0,11.5,34.6,34.6
"4248","Galway County",11.8,5.9,29.4,41.2,11.8
"4249","Galway County",7.1,3.6,10.7,28.6,50
"4250","Galway County",3.4,3.4,13.8,24.1,55.2
"4251","Galway County",10.3,6.9,13.8,31,37.9
"4252","Galway County",3.2,3.2,16.1,32.3,45.2
"4253","Galway County",13.5,3.8,19.2,23.1,40.4
"4254","Galway County",7.9,13.2,21.1,36.8,21.1
"4255","Galway County",10.5,7.9,23.7,34.2,23.7
"4256","Galway County",4.3,4.3,13,41.3,37
"4257","Galway County",6.3,6.3,15.6,31.3,40.6
"4258","Galway County",16.7,11.9,9.5,21.4,40.5
"4259","Galway County",4,12,16,28,40
"4260","Galway County",12.5,16.7,8.3,20.8,41.7
"4261","Galway County",16.7,7.1,16.7,26.2,33.3
"4262","Galway County",15.4,0,23.1,7.7,53.8
"4263","Galway County",2.9,11.4,22.9,37.1,25.7
"4264","Galway County",0,8.3,8.3,25,58.3
"4265","Galway County",4.7,3.1,1.6,23.4,67.2
"4266","Galway County",11.1,11.1,5.6,22.2,50
"4267","Galway County",15,15,35,20,15
"4268","Galway County",10,2.5,20,22.5,45
"4269","Galway County",6.7,6.7,16.7,26.7,43.3
"4270","Galway County",12.1,12.1,15.2,27.3,33.3
"4271","Galway County",12.5,6.3,6.3,56.3,18.8
"4272","Galway County",18.8,0,25,25,31.3
"4273","Galway County",6.7,0,26.7,20,46.7
"4274","Galway County",0,17.6,17.6,17.6,47.1
"4275","Galway County",8.7,4.3,17.4,43.5,26.1
"4276","Galway County",4.5,4.5,9.1,31.8,50
"4277","Galway County",2.7,0,5.4,14.9,77
"4278","Galway County",0,7.1,10.7,35.7,46.4
"4279","Galway County",5.3,0,10.5,47.4,36.8
"4280","Galway County",4.3,17.4,0,21.7,56.5
"4281","Galway County",13.9,13.9,13.9,25,33.3
"4282","Galway County",23.1,3.8,0,11.5,61.5
"4283","Galway County",6.7,6.7,6.7,60,20
"4284","Galway County",23.5,5.9,64.7,5.9,0
"4285","Galway County",26.3,15.8,15.8,21.1,21.1
"4286","Galway County",17.6,5.9,32.4,26.5,17.6
"4287","Galway County",4,4,8,44,40
"4288","Galway County",3,3,24.2,36.4,33.3
"4289","Galway County",5.6,0,11.1,38.9,44.4
"4290","Galway County",15,10,20,25,30
"4291","Galway County",0,0,21.4,21.4,57.1
"4292","Galway County",0,9.5,28.6,23.8,38.1
"4293","Galway County",5.6,5.6,16.7,38.9,33.3
"4294","Galway County",0,0,13.6,31.8,54.5
"4295","Galway County",4.2,0,4.2,54.2,37.5
"4296","Galway County",3.6,10.7,21.4,32.1,32.1
"4297","Galway County",12.5,16.7,12.5,20.8,37.5
"4298","Galway County",8.3,0,16.7,16.7,58.3
"4299","Galway County",5.3,10.5,21.1,21.1,42.1
"4300","Galway County",4,4,24,40,28
"4301","Galway County",20.6,5.9,23.5,17.6,32.4
"4302","Galway County",17.2,10.3,10.3,27.6,34.5
"4303","Galway County",16.7,0,33.3,16.7,33.3
"4304","Galway County",12.3,3.5,0,19.3,64.9
"4305","Galway County",13.6,0,18.2,27.3,40.9
"4306","Galway County",4.3,21.7,21.7,30.4,21.7
"4307","Galway County",14.3,14.3,0,47.6,23.8
"4308","Galway County",13.8,6.9,31,24.1,24.1
"4309","Galway County",10.3,10.3,23.1,35.9,20.5
"4310","Galway County",5.6,2.8,8.3,38.9,44.4
"4311","Galway County",10.8,13.5,21.6,37.8,16.2
"4312","Galway County",10.3,0,20.7,31,37.9
"4313","Galway County",15.4,3.8,30.8,15.4,34.6
"4314","Galway County",2.7,5.4,16.2,18.9,56.8
"4315","Galway County",7.7,7.7,19.2,23.1,42.3
"4316","Galway County",4.2,12.5,20.8,12.5,50
"4317","Galway County",3.4,17.2,17.2,20.7,41.4
"4318","Galway County",18.6,7,34.9,23.3,16.3
"4319","Galway County",0,0,21.7,21.7,56.5
"4320","Galway County",17.1,9.8,17.1,26.8,29.3
"4321","Galway County",0,3.1,28.1,37.5,31.3
"4322","Galway County",9.7,3.2,29,38.7,19.4
"4323","Galway County",15.1,11.3,18.9,35.8,18.9
"4324","Galway County",15.4,7.7,30.8,30.8,15.4
"4325","Galway County",0,3.2,16.1,25.8,54.8
"4326","Galway County",0,0,3.5,9,87.5
"4327","Galway County",0,30.8,0,15.4,53.8
"4328","Galway County",4.5,9.1,0,27.3,59.1
"4329","Galway County",30.8,0,38.5,30.8,0
"4330","Galway County",7.1,14.3,78.6,0,0
"4331","Galway County",8.3,8.3,41.7,41.7,0
"4332","Galway County",30.8,15.4,38.5,15.4,0
"4333","Galway County",0,17.6,23.5,52.9,5.9
"4334","Galway County",12.5,0,37.5,40.6,9.4
"4335","Galway County",4.5,4.5,40.9,36.4,13.6
"4336","Galway County",19,4.8,42.9,19,14.3
"4337","Galway County",0,11.8,11.8,23.5,52.9
"4338","Galway County",5.3,2.6,15.8,28.9,47.4
"4339","Galway County",2.9,8.8,5.9,38.2,44.1
"4340","Galway County",6.9,10.3,13.8,24.1,44.8
"4341","Galway County",5.3,21.1,21.1,21.1,31.6
"4342","Galway County",3.6,3.6,10.7,39.3,42.9
"4343","Galway County",17.6,5.9,11.8,0,64.7
"4344","Galway County",12.5,18.8,15.6,28.1,25
"4345","Galway County",15.2,10.9,8.7,21.7,43.5
"4346","Galway County",14,11.6,11.6,27.9,34.9
"4347","Galway County",4.8,9.5,28.6,19,38.1
"4348","Galway County",4.8,9.5,23.8,28.6,33.3
"4349","Galway County",0,20,30,25,25
"4350","Galway County",5.3,7.9,13.2,36.8,36.8
"4351","Galway County",4.3,0,26.1,21.7,47.8
"4352","Galway County",2.2,0,17.4,26.1,54.3
"4353","Galway County",20,10,20,20,30
"4354","Galway County",12,4,12,48,24
"4355","Galway County",10.8,8.1,16.2,27,37.8
"4356","Galway County",4.8,14.3,19,9.5,52.4
"4357","Galway County",16.7,12.5,12.5,45.8,12.5
"4358","Galway County",7.7,0,26.9,30.8,34.6
"4359","Galway County",4.3,4.3,17.4,39.1,34.8
"4360","Galway County",8.3,12.5,29.2,41.7,8.3
"4361","Galway County",7.7,0,38.5,30.8,23.1
"4362","Galway County",33.3,10,16.7,20,20
"4363","Galway County",12.5,0,12.5,25,50
"4364","Galway County",18.2,5.5,14.5,23.6,38.2
"4365","Galway County",6.5,6.5,29,12.9,45.2
"4366","Galway County",22.7,9.1,18.2,13.6,36.4
"4367","Galway County",11.1,0,11.1,44.4,33.3
"4368","Galway County",11.1,5.6,11.1,38.9,33.3
"4369","Galway County",22.7,22.7,18.2,18.2,18.2
"4370","Galway County",12,4,8,20,56
"4371","Galway County",5.9,5.9,64.7,5.9,17.6
"4372","Galway County",11.1,0,88.9,0,0
"4373","Galway County",8.3,8.3,83.3,0,0
"4374","Galway County",0,11.1,77.8,11.1,0
"4375","Galway County",11.1,5.6,38.9,33.3,11.1
"4376","Galway County",15.4,0,61.5,23.1,0
"4377","Galway County",53.3,6.7,13.3,13.3,13.3
"4378","Galway County",2.9,5.8,10.1,14.5,66.7
"4379","Galway County",5.3,5.3,21.1,26.3,42.1
"4380","Galway County",0,0,10,50,40
"4381","Galway County",4.3,4.3,21.7,34.8,34.8
"4382","Galway County",7.1,14.3,42.9,35.7,0
"4383","Galway County",18.8,6.3,25,12.5,37.5
"4384","Galway County",5,0,35,30,30
"4385","Galway County",0,9.7,29,29,32.3
"4386","Galway County",23.5,11.8,35.3,11.8,17.6
"4387","Galway County",12.5,6.3,12.5,43.8,25
"4388","Galway County",24.1,3.4,17.2,27.6,27.6
"4389","Galway County",7.7,7.7,23.1,0,61.5
"4390","Galway County",3.1,6.3,3.1,46.9,40.6
"4391","Galway County",7.9,2.6,7.9,44.7,36.8
"4392","Galway County",3.6,10.7,14.3,25,46.4
"4393","Galway County",5.9,2.9,23.5,47.1,20.6
"4394","Galway County",0,5,5,30,60
"4395","Galway County",13.6,4.5,18.2,36.4,27.3
"4396","Galway County",26.3,0,26.3,21.1,26.3
"4397","Galway County",6,2,6,22,64
"4398","Galway County",4.5,0,31.8,27.3,36.4
"4399","Galway County",10.7,14.3,3.6,46.4,25
"4400","Galway County",7.7,15.4,23.1,30.8,23.1
"4401","Galway County",3,12.1,6.1,30.3,48.5
"4402","Galway County",18.5,7.4,7.4,33.3,33.3
"4403","Galway County",6.7,6.7,3.3,20,63.3
"4404","Galway County",7.7,3.8,30.8,26.9,30.8
"4405","Galway County",1.2,2.5,2.5,17.3,76.5
"4406","Galway County",16,4,12,28,40
"4407","Galway County",5,5,10,20,60
"4408","Galway County",0,9.1,45.5,0,45.5
"4409","Galway County",9.1,0,9.1,27.3,54.5
"4410","Galway County",0,0,50,14.3,35.7
"4411","Galway County",9.4,6.3,37.5,31.3,15.6
"4412","Galway County",14.3,0,42.9,14.3,28.6
"4413","Galway County",7.3,4.9,24.4,43.9,19.5
"4414","Galway County",8.3,0,0,58.3,33.3
"4415","Galway County",0,0,38.1,33.3,28.6
"4416","Galway County",4.3,4.3,26.1,21.7,43.5
"4417","Galway County",15.2,9.1,21.2,15.2,39.4
"4418","Galway County",3.7,18.5,22.2,29.6,25.9
"4419","Galway County",10.5,13.2,18.4,31.6,26.3
"4420","Galway County",9.1,0,6.1,18.2,66.7
"4421","Galway County",7.4,0,22.2,7.4,63
"4422","Galway County",12.5,6.3,6.3,37.5,37.5
"4423","Galway County",0,8,24,32,36
"4424","Galway County",10,10,25,20,35
"4425","Galway County",7.1,0,14.3,42.9,35.7
"4426","Galway County",10,5,20,20,45
"4427","Galway County",11.1,11.1,11.1,33.3,33.3
"4428","Galway County",0,0,22.2,11.1,66.7
"4429","Galway County",4,8,8,32,48
"4430","Galway County",11.1,11.1,22.2,22.2,33.3
"4431","Galway County",3,3,36.4,36.4,21.2
"4432","Galway County",11.1,5.6,36.1,33.3,13.9
"4433","Galway County",19.2,3.8,3.8,19.2,53.8
"4434","Galway County",20,2.5,25,30,22.5
"4435","Galway County",8,4,28,20,40
"4436","Galway County",7.1,7.1,10.7,39.3,35.7
"4437","Galway County",7.7,0,11.5,30.8,50
"4438","Galway County",0,17.6,11.8,41.2,29.4
"4439","Galway County",20,6.7,23.3,20,30
"4440","Galway County",6.5,2.2,15.2,37,39.1
"4441","Galway County",14.3,8.6,2.9,22.9,51.4
"4442","Galway County",15.8,5.3,15.8,26.3,36.8
"4443","Galway County",2.4,14.3,19,28.6,35.7
"4444","Galway County",10.7,10.7,28.6,14.3,35.7
"4445","Galway County",4,12,4,28,52
"4446","Galway County",8.3,8.3,20.8,37.5,25
"4447","Galway County",14.8,0,18.5,22.2,44.4
"4448","Galway County",4.3,0,17.4,34.8,43.5
"4449","Galway County",0,6.9,24.1,24.1,44.8
"4450","Galway County",12.2,4.9,9.8,41.5,31.7
"4451","Galway County",3.8,5.1,9,15.4,66.7
"4452","Galway County",12,4,12,28,44
"4453","Galway County",22.2,5.6,11.1,33.3,27.8
"4454","Galway County",21.4,9.5,23.8,23.8,21.4
"4455","Galway County",30.8,19.2,11.5,19.2,19.2
"4456","Galway County",18.2,9.1,27.3,31.8,13.6
"4457","Galway County",22.2,0,22.2,22.2,33.3
"4458","Galway County",4.2,4.2,8.3,29.2,54.2
"4459","Galway County",13.9,2.8,11.1,25,47.2
"4460","Galway County",10,10,10,10,60
"4461","Galway County",12.5,16.7,20.8,12.5,37.5
"4462","Galway County",25,3.6,32.1,25,14.3
"4463","Galway County",6.3,0,12.5,50,31.3
"4464","Galway County",0,0,18.8,37.5,43.8
"4465","Galway County",0,12.5,6.3,18.8,62.5
"4466","Galway County",0,7.7,38.5,38.5,15.4
"4467","Galway County",10.5,5.3,15.8,42.1,26.3
"4468","Galway County",9.1,0,13.6,18.2,59.1
"4469","Galway County",33.3,4.8,33.3,23.8,4.8
"4470","Galway County",11.1,5.6,50,33.3,0
"4471","Galway County",8.5,10.2,32.2,33.9,15.3
"4472","Galway County",8.3,8.3,50,33.3,0
"4473","Galway County",6.9,3.4,37.9,13.8,37.9
"4474","Galway County",0,0,42.9,52.4,4.8
"4475","Galway County",20,20,46.7,10,3.3
"4476","Galway County",22.5,7.5,32.5,15,22.5
"4477","Galway County",0,3.7,22.2,33.3,40.7
"4478","Galway County",17.2,17.2,31,17.2,17.2
"4479","Galway County",12.5,3.1,34.4,25,25
"4480","Galway County",6.7,6.7,20,26.7,40
"4481","Galway County",16.2,13.5,13.5,27,29.7
"4482","Galway County",18.2,4.5,36.4,22.7,18.2
"4483","Galway County",4.3,0,43.5,13,39.1
"4484","Galway County",12.5,4.2,8.3,16.7,58.3
"4485","Galway County",8.7,8.7,56.5,8.7,17.4
"4486","Galway County",7.7,0,61.5,15.4,15.4
"4487","Galway County",16.7,16.7,33.3,16.7,16.7
"4488","Galway County",2.1,6.3,10.4,37.5,43.8
"4489","Galway County",12.5,7.1,16.1,37.5,26.8
"4490","Galway County",12.5,6.3,68.8,0,12.5
"4491","Galway County",0,0,31.6,26.3,42.1
"4492","Galway County",11.1,8.9,13.3,44.4,22.2
"4493","Galway County",12,12,40,16,20
"4494","Galway County",3.4,6.9,24.1,20.7,44.8
"4495","Galway County",2,6,12,22,58
"4496","Galway County",0,0,27,21.6,51.4
"4497","Galway County",10,0,30,30,30
"4498","Galway County",14.8,11.1,20.4,31.5,22.2
"4499","Galway County",0,0,17.2,44.8,37.9
"4500","Galway County",0,0,50,30,20
"4501","Galway County",8.1,0,27,27,37.8
"4502","Galway County",9.8,9.8,14.6,36.6,29.3
"4503","Galway County",7.5,9,11.9,32.8,38.8
"4504","Galway County",5.6,0,55.6,16.7,22.2
"4505","Galway County",8,4,12,16,60
"4506","Galway County",0,9.7,22.6,35.5,32.3
"4507","Galway County",2.6,5.1,2.6,15.4,74.4
"4508","Galway County",0,12,8,48,32
"4509","Galway County",0,0,10.8,35.1,54.1
"4510","Galway County",24,8,32,8,28
"4511","Galway County",5.9,17.6,23.5,41.2,11.8
"4512","Galway County",42.9,0,42.9,14.3,0
"4513","Galway County",9.6,4.8,9.6,21.7,54.2
"4514","Galway County",11.1,16.7,16.7,33.3,22.2
"4515","Galway County",0,1.7,13.6,10.2,74.6
"4516","Galway County",20,5,15,30,30
"4517","Galway County",10,20,20,30,20
"4518","Galway County",5.9,11.8,11.8,41.2,29.4
"4519","Galway County",13.3,6.7,13.3,26.7,40
"4520","Galway County",11.4,5.7,14.3,25.7,42.9
"4521","Galway County",7.1,7.1,28.6,10.7,46.4
"4522","Galway County",8.9,0,6.7,28.9,55.6
"4523","Galway County",4.9,2.4,17.1,39,36.6
"4524","Galway County",21.7,8.7,17.4,21.7,30.4
"4525","Galway County",4.8,11.9,14.3,33.3,35.7
"4526","Galway County",3.7,7.4,11.1,40.7,37
"4527","Galway County",3,0,18.2,24.2,54.5
"4528","Galway County",12,8,16,40,24
"4529","Galway County",18.5,3.7,3.7,55.6,18.5
"4530","Galway County",6.5,3.2,25.8,54.8,9.7
"4531","Galway City",11.8,0,29.4,47.1,11.8
"4532","Galway City",16.1,0,35.5,32.3,16.1
"4533","Galway City",50,0,41.7,8.3,0
"4534","Galway City",16.7,3.7,38.9,35.2,5.6
"4535","Galway City",22.4,12.2,44.9,20.4,0
"4536","Galway City",0,27.8,22.2,16.7,33.3
"4537","Galway City",12.5,10,17.5,42.5,17.5
"4538","Galway City",17.4,13,52.2,17.4,0
"4539","Galway City",17.1,2.9,37.1,28.6,14.3
"4540","Galway City",2.9,32.4,26.5,38.2,0
"4541","Galway City",0,0,40,60,0
"4542","Galway City",18.8,6.3,62.5,6.3,6.3
"4543","Galway City",3.9,0,9.2,26.3,60.5
"4544","Galway City",4.3,17.4,69.6,4.3,4.3
"4545","Galway City",0,0,86.7,13.3,0
"4546","Galway City",12,0,56,32,0
"4547","Galway City",14.3,14.3,28.6,42.9,0
"4548","Galway City",0,16.7,83.3,0,0
"4549","Galway City",21.7,13,39.1,13,13
"4550","Galway City",19.1,2.1,40.4,25.5,12.8
"4551","Galway City",18.6,18.6,20.9,34.9,7
"4552","Galway City",3.8,17,22.6,41.5,15.1
"4553","Galway City",0,50,41.2,5.9,2.9
"4554","Galway City",7.1,1.2,13.5,20,58.2
"4555","Galway City",36.4,4.5,45.5,13.6,0
"4556","Galway City",33.3,0,55.6,11.1,0
"4557","Galway City",11.1,27.8,55.6,0,5.6
"4558","Galway City",0,21.1,47.4,31.6,0
"4559","Galway City",0,0,75,0,25
"4560","Galway City",0,6.7,73.3,13.3,6.7
"4561","Galway City",7.7,15.4,69.2,7.7,0
"4562","Galway City",0,0,99.9,0,0
"4563","Galway City",36.4,18.2,27.3,18.2,0
"4564","Galway City",22.2,0,66.7,11.1,0
"4565","Galway City",0,25,62.5,12.5,0
"4566","Galway City",8.3,8.3,41.7,25,16.7
"4567","Galway City",37.5,0,62.5,0,0
"4568","Galway City",16.7,8.3,58.3,16.7,0
"4569","Galway City",0,25,50,25,0
"4570","Galway City",11.3,11.3,37.1,38.7,1.6
"4571","Galway City",20,13.3,36.7,23.3,6.7
"4572","Galway City",6.2,10.8,23.1,43.1,16.9
"4573","Galway City",2.7,8.1,16.2,51.4,21.6
"4574","Galway City",14.3,10.7,21.4,32.1,21.4
"4575","Galway City",2.6,7.7,17.9,48.7,23.1
"4576","Galway City",6.5,1.6,69.4,8.1,14.5
"4577","Galway City",27.6,0,65.5,3.4,3.4
"4578","Galway City",21.9,3.1,40.6,34.4,0
"4579","Galway City",5.9,5.9,47.1,41.2,0
"4580","Galway City",0,22.9,28.6,17.1,31.4
"4581","Galway City",15.4,34.6,26.9,23.1,0
"4582","Galway City",28,20,28,4,20
"4583","Galway City",14.3,4.8,52.4,19,9.5
"4584","Galway City",7.7,12.8,28.2,35.9,15.4
"4585","Galway City",9.1,13.6,13.6,40.9,22.7
"4586","Galway City",9.1,0,22.7,54.5,13.6
"4587","Galway City",18.5,11.1,40.7,14.8,14.8
"4588","Galway City",30,0,30,30,10
"4589","Galway City",0,20,20,40,20
"4590","Galway City",19,14.3,42.9,9.5,14.3
"4591","Galway City",5.9,5.9,26.5,44.1,17.6
"4592","Galway City",20,3.3,23.3,23.3,30
"4593","Galway City",3.2,12.9,3.2,48.4,32.3
"4594","Galway City",16.1,9.7,29,22.6,22.6
"4595","Galway City",15.8,21.1,10.5,26.3,26.3
"4596","Galway City",16,8,16,32,28
"4597","Galway City",23.5,11.8,29.4,29.4,5.9
"4598","Galway City",10.7,3.6,28.6,32.1,25
"4599","Galway City",25,14.3,17.9,21.4,21.4
"4600","Galway City",25,3.1,25,25,21.9
"4601","Galway City",11.1,22.2,50,0,16.7
"4602","Galway City",0,17.6,23.5,23.5,35.3
"4603","Galway City",5.7,2.9,28.6,34.3,28.6
"4604","Galway City",7.4,11.1,11.1,18.5,51.9
"4605","Galway City",8.3,16.7,50,25,0
"4606","Galway City",0,0,23.1,46.2,30.8
"4607","Galway City",5,0,45,35,15
"4608","Galway City",3.1,6.3,15.6,43.8,31.3
"4609","Galway City",20.8,20.8,29.2,12.5,16.7
"4610","Galway City",9.5,4.8,19,42.9,23.8
"4611","Galway City",18.2,0,36.4,45.5,0
"4612","Galway City",25.9,8.6,31,24.1,10.3
"4613","Galway City",26.7,6.7,46.7,13.3,6.7
"4614","Galway City",16.7,5.6,33.3,33.3,11.1
"4615","Galway City",0,8.7,17.4,56.5,17.4
"4616","Galway City",23.7,0,39.5,28.9,7.9
"4617","Galway City",4.3,4.3,34.8,52.2,4.3
"4618","Galway City",12.5,3.1,40.6,31.3,12.5
"4619","Galway City",14.3,9.5,42.9,9.5,23.8
"4620","Galway City",26.5,2.9,38.2,17.6,14.7
"4621","Galway City",16.7,0,83.3,0,0
"4622","Galway City",20,0,35,35,10
"4623","Galway City",5.9,0,41.2,35.3,17.6
"4624","Galway City",22.2,11.1,55.6,0,11.1
"4625","Galway City",18.2,9.1,59.1,13.6,0
"4626","Galway City",16.7,0,30,33.3,20
"4627","Galway City",13.6,18.2,36.4,22.7,9.1
"4628","Galway City",20,20,40,20,0
"4629","Galway City",35.4,12.5,27.1,18.8,6.3
"4630","Galway City",11.8,5.9,58.8,17.6,5.9
"4631","Galway City",31.8,9.1,36.4,13.6,9.1
"4632","Galway City",25,0,50,18.8,6.3
"4633","Galway City",21.4,7.1,50,21.4,0
"4634","Galway City",25,5,40,25,5
"4635","Galway City",3.8,15.4,26.9,34.6,19.2
"4636","Galway City",8.3,8.3,58.3,25,0
"4637","Galway City",18.8,6.3,56.3,18.8,0
"4638","Galway City",7.1,7.1,28.6,46.4,10.7
"4639","Galway City",0,0,90.9,9.1,0
"4640","Galway City",0,9.5,23.8,40.5,26.2
"4641","Galway City",4.5,2.3,20.5,34.1,38.6
"4642","Galway City",0,13,23.9,32.6,30.4
"4643","Galway City",2.1,8.3,27.1,18.8,43.8
"4644","Galway City",33.3,0,33.3,28.6,4.8
"4645","Galway City",17.9,8.9,35.7,26.8,10.7
"4646","Galway City",29.4,11.8,52.9,5.9,0
"4647","Galway City",28.6,14.3,42.9,14.3,0
"4648","Galway City",0,0,66.7,33.3,0
"4649","Galway City",33.3,0,41.7,25,0
"4650","Galway City",3.1,6.3,62.5,21.9,6.3
"4651","Galway City",12.5,26.8,42.9,14.3,3.6
"4652","Galway City",10,20,70,0,0
"4653","Galway City",3.4,8.5,13.6,39,35.6
"4654","Galway City",6.7,0,23.3,23.3,46.7
"4655","Galway City",9.1,1.8,27.3,23.6,38.2
"4656","Galway City",0,20,10,30,40
"4657","Galway City",9.5,0,4.8,57.1,28.6
"4658","Galway City",9.3,2.3,30.2,16.3,41.9
"4659","Galway City",10,5,25,20,40
"4660","Galway City",0,16.7,6.7,23.3,53.3
"4661","Galway City",6.3,12.5,56.3,12.5,12.5
"4662","Galway City",0,38.5,38.5,7.7,15.4
"4663","Galway City",0,23.1,46.2,23.1,7.7
"4664","Galway City",20.8,4.2,31.3,33.3,10.4
"4665","Galway City",8.3,16.7,20.8,45.8,8.3
"4666","Galway City",4.8,14.3,23.8,23.8,33.3
"4667","Galway City",11.4,2.9,12.9,48.6,24.3
"4668","Galway City",11.8,0,47.1,29.4,11.8
"4669","Galway City",14.1,14.1,12.5,45.3,14.1
"4670","Galway City",18.2,18.2,9.1,27.3,27.3
"4671","Galway City",4,0,32,32,32
"4672","Galway City",3.4,20.7,10.3,24.1,41.4
"4673","Galway City",0,6.7,23.3,33.3,36.7
"4674","Galway City",0,13.6,31.8,31.8,22.7
"4675","Galway City",0,7.1,17.9,42.9,32.1
"4676","Galway City",0,99.9,0,0,0
"4677","Galway City",0,58.3,8.3,16.7,16.7
"4678","Galway City",12.5,4.2,20.8,50,12.5
"4679","Galway City",0,38.5,11.5,3.8,46.2
"4680","Galway City",5.9,29.4,23.5,17.6,23.5
"4681","Galway City",4,0,34,30,32
"4682","Galway City",0,16.7,43.3,23.3,16.7
"4683","Galway City",0,46.2,15.4,30.8,7.7
"4684","Galway City",0,25.7,37.1,22.9,14.3
"4685","Galway City",0,33.3,44.4,22.2,0
"4686","Galway City",7.7,15.4,23.1,46.2,7.7
"4687","Galway City",1.3,9.1,31.2,46.8,11.7
"4688","Galway City",0,8.7,26.1,30.4,34.8
"4689","Galway City",4.2,50,12.5,12.5,20.8
"4690","Galway City",5.6,16.7,55.6,11.1,11.1
"4691","Galway City",0,38.5,61.5,0,0
"4692","Galway City",0,31.3,31.3,18.8,18.8
"4693","Galway City",3.3,43.3,23.3,10,20
"4694","Galway City",6.7,6.7,60,20,6.7
"4695","Galway City",6.3,25,18.8,18.8,31.3
"4696","Galway City",0,8.3,41.7,25,25
"4697","Galway City",5,3.3,16.7,23.3,51.7
"4698","Galway City",0,0,33.3,11.1,55.6
"4699","Galway City",0,15.8,26.3,42.1,15.8
"4700","Galway City",0,0,30,27.5,42.5
"4701","Galway City",4.9,22,4.9,22,46.3
"4702","Galway City",0,8.1,12.9,19.4,59.7
"4703","Galway City",4.5,18.2,15.9,36.4,25
"4704","Galway City",0,10.3,28.2,25.6,35.9
"4705","Galway City",3.6,10.7,25,25,35.7
"4706","Galway City",19,4.8,61.9,14.3,0
"4707","Galway City",8.9,11.1,28.9,42.2,8.9
"4708","Galway City",7.9,7.9,26.3,34.2,23.7
"4709","Galway City",9.1,13.6,40.9,22.7,13.6
"4710","Galway City",14.3,0,19,52.4,14.3
"4711","Galway City",3.8,15.4,19.2,26.9,34.6
"4712","Galway City",4.4,2.2,6.7,13.3,73.3
"4713","Galway City",10.7,14.3,35.7,33.9,5.4
"4714","Galway City",6.3,15.6,25,28.1,25
"4715","Galway City",0,60,33.3,6.7,0
"4716","Galway City",0,60,40,0,0
"4717","Galway City",0,99.9,0,0,0
"4718","Galway City",6.3,0,75,18.8,0
"4719","Galway City",0,50,30,20,0
"4720","Galway City",0,53.8,46.2,0,0
"4721","Galway City",0,6.3,12.5,37.5,43.8
"4722","Galway City",13,8.7,21.7,47.8,8.7
"4723","Galway City",5.6,11.1,33.3,27.8,22.2
